Sample	Kallisto_mqc-generalstats-percent_aligned	Kallisto_mqc-generalstats-pseudoaligned_reads
1553_XXXX_L001_R1_001	75.05279221596133	5172369.0
1554_XXXX_L001_R1_001	80.19769648679164	6071037.0
1555_XXXX_L001_R1_001	90.39360838278131	7416114.0
1556_XXXX_L001_R1_001	86.71141503480946	7884858.0
1557_XXXX_L001_R1_001	77.63299141945905	9585170.0
1558_XXXX_L001_R1_001	81.90991726842537	14504799.0
1559_XXXX_L001_R1_001	85.99791649508882	7560039.0
1560_XXXX_L001_R1_001	87.34455854970814	25232559.0
1561_XXXX_L001_R1_001	90.07647753172367	9116062.0
1562_XXXX_L001_R1_001	89.7972121586383	10277792.0
1563_XXXX_L001_R1_001	91.34444632722608	10986108.0
1564_XXXX_L001_R1_001	91.07053872475286	16044262.0
