Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
1553_XXXX_L001_R1_001	6891641.0	5172369.0	1719272.0	75.05279221596133
1554_XXXX_L001_R1_001	7570089.0	6071037.0	1499052.0	80.19769648679164
1555_XXXX_L001_R1_001	8204246.0	7416114.0	788132.0	90.39360838278131
1556_XXXX_L001_R1_001	9093218.0	7884858.0	1208360.0	86.71141503480946
1557_XXXX_L001_R1_001	12346774.0	9585170.0	2761604.0	77.63299141945905
1558_XXXX_L001_R1_001	17708233.0	14504799.0	3203434.0	81.90991726842537
1559_XXXX_L001_R1_001	8790956.0	7560039.0	1230917.0	85.99791649508882
1560_XXXX_L001_R1_001	28888530.0	25232559.0	3655971.0	87.34455854970814
1565_XXXX_L001_R1_001	10120358.0	9116062.0	1004296.0	90.07647753172367
1566_XXXX_L001_R1_001	11445558.0	10277792.0	1167766.0	89.7972121586383
1567_XXXX_L001_R1_001	12027122.0	10986108.0	1041014.0	91.34444632722608
1568_XXXX_L001_R1_001	17617401.0	16044262.0	1573139.0	91.07053872475286
