Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
run_1__1553_XXXX_L001_R1	46.87081340618895	49.0	75.0	36.36363636363637	6891641.0
run_1__1554_XXXX_L001_R1	39.75563016223196	48.0	75.0	36.36363636363637	7570089.0
run_1__1555_XXXX_L001_R1	45.54071154570719	48.0	75.0	18.181818181818183	8204246.0
run_1__1556_XXXX_L001_R1	44.580627367698824	50.0	75.0	27.27272727272727	9093218.0
run_1__1557_XXXX_L001_R1	47.84975555103592	49.0	75.0	27.27272727272727	12346774.0
run_1__1558_XXXX_L001_R1	46.363112020724394	49.0	75.0	27.27272727272727	17708233.0
run_1__1559_XXXX_L001_R1	45.542487018489865	49.0	75.0	27.27272727272727	8790956.0
run_1__1560_XXXX_L001_R1	57.72596039957718	49.0	75.0	45.45454545454545	28888530.0
run_1__1561_XXXX_L001_R1	42.01360162570765	50.0	75.0	18.181818181818183	10120358.0
run_1__1562_XXXX_L001_R1	47.68523047560086	49.0	75.0	18.181818181818183	11445558.0
run_1__1563_XXXX_L001_R1	51.06071205056653	50.0	75.0	27.27272727272727	12027122.0
run_1__1564_XXXX_L001_R1	51.95959350188455	50.0	75.0	27.27272727272727	17617401.0
